0,10,342,3.42
1,10,393,3.93
2,15,749,3.32889
3,16,856,3.34375
4,19,1740,4.81994
5,20,1204,3.01
6,20,1389,3.4725
7,20,1402,3.505
8,20,1456,3.64
9,25,2500,4
10,27,2117,2.90398
11,30,2458,2.73111
12,30,2430,2.7
13,30,2412,2.68
14,35,3962,3.23429
15,40,2448,1.53
16,40,3276,2.0475
17,50,23,0.0092
18,50,4181,1.6724
19,100,11106,1.1106
0,10,349,3.49
1,10,370,3.7
2,15,876,3.89333
3,16,1009,3.94141
4,19,1602,4.43767
5,20,1460,3.65
6,20,1658,4.145
7,20,1621,4.0525
8,20,1522,3.805
9,25,2679,4.2864
10,27,2169,2.97531
11,30,2347,2.60778
12,30,2293,2.54778
13,30,2480,2.75556
14,35,3905,3.18776
15,40,2443,1.52687
16,40,3312,2.07
17,50,27,0.0108
18,50,4160,1.664
19,100,11064,1.1064
0,10,292,2.92
1,10,413,4.13
2,15,789,3.50667
3,16,807,3.15234
4,19,1610,4.45983
5,20,1589,3.9725
6,20,1653,4.1325
7,20,1513,3.7825
8,20,1395,3.4875
9,25,2331,3.7296
10,27,2271,3.11523
11,30,2825,3.13889
12,30,2303,2.55889
13,30,2452,2.72444
14,35,3771,3.07837
15,40,2437,1.52313
16,40,3207,2.00438
17,50,26,0.0104
18,50,4213,1.6852
19,100,11107,1.1107
0,10,310,3.1
1,10,401,4.01
2,15,772,3.43111
3,16,814,3.17969
4,19,1502,4.16066
5,20,1281,3.2025
6,20,1397,3.4925
7,20,1414,3.535
8,20,1513,3.7825
9,25,2473,3.9568
10,27,2210,3.03155
11,30,2498,2.77556
12,30,2337,2.59667
13,30,2498,2.77556
14,35,3696,3.01714
15,40,2440,1.525
16,40,3213,2.00813
17,50,26,0.0104
18,50,4216,1.6864
19,100,11110,1.111
0,10,342,3.42
1,10,376,3.76
2,15,954,4.24
3,16,855,3.33984
4,19,1666,4.61496
5,20,1249,3.1225
6,20,1387,3.4675
7,20,1519,3.7975
8,20,1781,4.4525
9,25,2265,3.624
10,27,2307,3.16461
11,30,2602,2.89111
12,30,2270,2.52222
13,30,2529,2.81
14,35,3866,3.15592
15,40,2439,1.52438
16,40,3287,2.05437
17,50,20,0.008
18,50,4266,1.7064
19,100,11042,1.1042
